"IBM.open"	"IBM.high"	"IBM.low"	"IBM.close"	"IBM.adjclose"	"IBM.volume"
"1"	97.18	98.400002	96.260002	97.269997	69.292442	9196800
"2"	97.25	98.790001	96.879997	98.309998	70.033356	10524500
"3"	97.599998	97.949997	96.910004	97.419998	69.399338	7221300
"4"	98.5	99.5	98.349998	98.900002	70.453651	10340000
"5"	99.080002	100.330002	99.07	100.07	71.287102	11108200
"6"	98.5	99.050003	97.93	98.889999	70.446518	8744800
"7"	99	99.900002	98.5	98.650002	70.275558	8000700
"8"	98.989998	99.690002	98.5	99.339996	70.767075	6636500
"9"	99.400002	100.839996	99.300003	100.82	71.821404	9602200
"10"	100.690002	100.900002	99.900002	100.019997	71.251511	8200700
"11"	99.800003	99.949997	98.910004	99.449997	70.845444	14636100
"12"	95	96.849998	94.550003	96.169998	68.508865	26035800
"13"	96.419998	97.230003	96.120003	97.110001	69.178505	13539300
"14"	96.910004	97.379997	96.199997	97.080002	69.157104	10337400
"15"	97.080002	97.580002	96.580002	97.400002	69.385094	5700000
"16"	97.220001	97.919998	97.220001	97.510002	69.46344	6201300
"17"	97.519997	97.830002	96.839996	97.449997	69.420692	5771100
"18"	97.699997	98.660004	97.449997	98.540001	70.197166	7294800
"19"	98.57	99.449997	98.5	99.370003	70.788429	7177900
"20"	98.800003	99.480003	98.349998	99.150002	70.631729	6432600
"21"	98.970001	99.18	97.959999	99	70.524902	6610700
"22"	99.099998	99.730003	98.879997	99.169998	70.645988	6656300
"23"	99.169998	100.440002	98.900002	100.379997	71.507942	8184800
"24"	100	100.400002	99.540001	99.849998	71.130386	6532800
"25"	99.800003	100.360001	99.120003	99.540001	71.123253	7698200
"26"	98.900002	99.739998	98.650002	99.620003	71.180397	6152200
"27"	99.519997	99.699997	97.809998	98.550003	70.415886	6100400
"28"	98.800003	99.199997	98.220001	98.580002	70.437286	5331000
"29"	98.599998	98.739998	97.800003	98.290001	70.23011	5702800
"30"	98.5	99.43	98.25	99.199997	70.880325	5644800
"31"	99.059998	99.519997	98.480003	98.919998	70.680222	5568600
"32"	99.120003	99.25	98.629997	98.989998	70.730263	4800700
"33"	98.660004	99.459999	98.550003	99.349998	70.987503	4124200
"34"	98.900002	99.370003	98.699997	99.089996	70.80172	4302400
"35"	98.800003	99.5	97.769997	98.5	70.38018	5900100
"36"	98.400002	98.440002	97.410004	97.730003	69.829948	6355800
"37"	97.860001	97.860001	96.459999	96.910004	69.244057	5922100
"38"	96	96.010002	92.879997	93.959999	67.136238	11996700
"39"	93.709999	94.089996	92.470001	92.940002	66.407417	12191600
"40"	90.25	93.050003	88.769997	92.269997	65.928673	12865700
"41"	92	92.370003	90.839996	90.900002	64.949791	9451300
"42"	90.25	92.150002	90.099998	91.809998	65.600021	10314900
"43"	92.400002	93.889999	92.260002	93.800003	67.021919	9184200
"44"	93.970001	94.849998	93.620003	93.940002	67.121956	10269100
"45"	94.5	94.82	92.519997	93	66.450294	7403900
"46"	93.480003	94	92.82	93.279999	66.650345	6333000
"47"	93.290001	94.169998	92.970001	94.110001	67.243423	5531300
"48"	93.860001	94.470001	92.620003	92.709999	66.243095	7539100
"49"	92.650002	94.029999	92.099998	93.760002	66.993309	8713900
"50"	93.400002	93.970001	93.099998	93.449997	66.771805	5910000
"51"	94.449997	94.449997	93.019997	93.25	66.628914	8728700
"52"	93.949997	94.32	93.389999	93.989998	67.157677	4568100
"53"	94	94.529999	93.550003	94.5	67.522049	4560000
"54"	94.5	95.809998	93.830002	95.360001	68.136536	7665600
"55"	95.099998	95.440002	94.650002	95.190002	68.015091	5700400
"56"	94.82	95.220001	94.650002	95.029999	67.900757	4412500
"57"	95	95.25	94.32	95	67.879303	6729400
"58"	94.709999	95.029999	94.199997	94.730003	67.686401	4695800
"59"	93.900002	95.019997	93.800003	94.260002	67.350601	8128000
"60"	94.660004	95.110001	93.959999	94.57	67.57209	6851500
"61"	94.239998	94.75	93.57	94.260002	67.350601	7638100
"62"	94.510002	95.5	94.059998	95.209999	68.029388	5883700
"63"	95.449997	96.230003	95.330002	96.099998	68.665276	5730800
"64"	95.800003	96.449997	95.57	96.209999	68.743896	4276200
